File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\emergency_1553734525.html,178,177,0,0,1,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\emergency_1553734672.html,178,177,0,0,1,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\emergency_1553736713.html,163,162,0,0,1,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\Found1_1553705138.html,208,179,0,0,29,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\Found1_1553706981.html,185,181,0,0,4,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\Found1_1553707027.html,201,200,0,0,1,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\Found1_1553707563.html,201,200,0,0,1,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\Found1_1553707981.html,201,200,0,0,1,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\Found1_1553709940.html,201,200,0,0,1,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\Found1_1553713871.html,201,200,0,0,1,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\Found1_1553726492.html,201,200,0,0,1,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\Found1_1553727700.html,206,205,0,0,1,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\Found1_1553729733.html,206,205,0,0,1,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\Found1_1553734525.html,206,205,0,0,1,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\Found1_1553735420.html,206,205,0,0,1,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\Found1_1553736713.html,206,205,0,0,1,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\gevonden-fl-exotisch_1553733738.html,251,247,2,0,3,0,1,1,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\gevonden-fl-exotisch_1553735209.html,187,183,2,0,3,0,1,1,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\gevonden-fl-exotisch_1553735262.html,180,176,2,0,3,0,1,1,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\gevonden-fl-exotisch_1553736713.html,180,176,2,0,3,0,1,1,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\gevonden-fl-hond_1553733738.html,251,247,2,0,3,0,1,1,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\gevonden-fl-hond_1553736713.html,196,192,2,0,3,0,1,1,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\gevonden-fl-kat_1553733738.html,251,247,2,0,3,0,1,1,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\gevonden-fl-kat_1553736713.html,198,194,2,0,3,0,1,1,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\gevonden-fl-kvee_1553733738.html,251,247,2,0,3,0,1,1,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\gevonden-fl-kvee_1553736713.html,180,176,2,0,3,0,1,1,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\gevonden-fl-vee_1553732727.html,185,181,2,0,3,0,1,1,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\gevonden-fl-vogels_1553732712.html,251,247,2,0,3,0,1,1,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\gevonden-fl-vogels_1553733738.html,185,181,2,0,3,0,1,1,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\gevonden-fl-vogels_1553736713.html,185,181,2,0,3,0,1,1,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\gevonden_1553705135.html,205,203,1,0,1,0,1,1,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\gevonden_1553705750.html,249,246,2,0,2,0,1,1,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\gevonden_1553706979.html,249,245,2,0,3,0,1,1,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\gevonden_1553707975.html,249,245,2,0,3,0,1,1,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\gevonden_1553709938.html,249,245,2,0,3,0,1,1,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\gevonden_1553712862.html,249,245,2,0,3,0,1,1,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\gevonden_1553712902.html,249,245,2,0,3,0,1,1,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\gevonden_1553712920.html,249,245,2,0,3,0,1,1,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\gevonden_1553726742.html,249,245,2,0,3,0,1,1,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\gevonden_1553727846.html,251,247,2,0,3,0,1,1,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\gevonden_1553729227.html,251,247,2,0,3,0,1,1,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\gevonden_1553729556.html,251,247,2,0,3,0,1,1,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\gevonden_1553729557.html,251,247,2,0,3,0,1,1,0,0
